MPN,Value,Tolerance,Wattage,Voltage,Current,Dielectric Characteristic,Resistance,Impedance,Package (LxW),Description,Manufacturer,Datasheet
SMS-R050-1.0,0.05R,1%,5W,,,,,,2512,,Isabellenhütte,https://www.isabellenhuetteusa.com/wp-content/uploads/2024/05/SMS.pdf
ERJ6BSFR15V,0.15R,1%,1/3W,,,,,,0805,,Panasonic,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf
PWR220T-35-25R0J,25R,5%,35W,,,,,,TO220-2,,Bourns Inc.,https://www.bourns.com/docs/Product-Datasheets/PWR220T-35.pdf
CR0805-FX-1002ELF,10K,1%,1/8W,,,,,,0805,,Bourns Inc.,https://bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14
MCKP05SJ0680AA9,18R,5%,5W,,,,,,,,Multicomp,https://www.farnell.com/datasheets/3916833.pdf
ERJP03F49R9V,49.9R,1%,1/5W,,,,,,0603,,Panasonic,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf
MCMR06X000PH,0R,1%,1/10W,,,,,,0603,,Multicomp,https://www.farnell.com/datasheets/2860635.pdf?_gl=1*10o4e8p*_gcl_au*MjA0NDg0NDM5Mi4xNzU4NDAzNDE5
AC0402FR-0722KL,22K,1%,1/16W,,,,,,0402,,Yageo,https://www.yageogroup.com/content/datasheet/asset/file/PYU-AC_51_ROHS_L
PA1206FRF470R003Z,0.003R,1%,1W,,,,,,1206,,Yageo,https://www.yageogroup.com/browse/products?search=pyu-pa0100_2512_51_rohs.pdf
RT1206BRD0730RK,30K,1%,1/4W,,,,,,1206,,Yageo,https://www.mouser.at/datasheet/3/508/1/PYu-RT_1-to-0.01_RoHS_L_15.pdf
PCF0805R-13K3BT1,13.3K,1%,1/10W,,,,,,0805,,TT Electronics,https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Datasheet/PCF.pdf
RP73PF1E34K8BTDF,34.8K,0.10%,1/16W,,,,,,0402,,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773272&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=8-1879808-3
CRGCQ0402F4K7,4.7K,1%,1/16W,,,,,,0402,,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=Data%20Sheet&DocLang=English&DocFormat=pdf&PartCntxt=4-2176338-3
MCMR04X000PTL,0R,1%,1/16W,,,,,,0402,,Multicomp,https://4donline.ihs.com/images/VipMasterIC/IC/SCMP/SCMPS00166/SCMPS00166-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
ERJ-8CWFR010V,0.01R,1%,1W,,,,,,1206,,Panasonic,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf
ERJL06KF10CV,0.1R,1%,1/4W,,,,,,0805,,Panasonic,https://industrial.panasonic.com/cdbs/www-data/pdf/RDN0000/AOA0000C313.pdf
MCLRP10DTWTR030,0.03R,0.50%,1W,,,,,,2010,,Multicomp,https://www.farnell.com/datasheets/3779528.pdf
SMS-R250-1.0,0.25R,1%,5W,,,,,,2512,,Isabellenhütte,https://www.isabellenhuetteusa.com/wp-content/uploads/2024/05/SMS.pdf
SMS-R012-1.0,0.012R,1%,5W,,,,,,2512,,Isabellenhütte,https://www.isabellenhuetteusa.com/wp-content/uploads/2024/05/SMS.pdf
,,,,,,,,,,,,
TS170R1H272KSBBA0R,2.7nF,10%,,50V,,X7R,,,Radial Leaded,Multilayer Ceramic Capacitor,Suntan,https://www.farnell.com/datasheets/2622414.pdf
EEEFT0J331AP,330uF,20%,,6.3V,,0.26R,,,6.3x5.8,Aluminium Electrolytic Capacitor,Panasonic,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1240.pdf
C3216X7R1C106K160AC,10uF,10%,,16V,,X7R,,,1206,Multilayer Ceramic Capacitor,TDK Corporation,https://www.farnell.com/datasheets/4520405.pdf
GCJ21BR71C475KA01L,4.7uF,10%,,16V,,X7R,,,0805,Multilayer Ceramic Capacitor,Murata Electronics,https://www.farnell.com/datasheets/2356131.pdf
K472J20C0GK63H5H,4.7nF,5%,,200V,,C0G,,,Radial Leaded,Multilayer Ceramic Capacitor,Vishay Dale,https://4donline.ihs.com/images/VipMasterIC/IC/VISH/VISH-S-A0010170161/VISH-S-A0010170161-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0
C0402C104M4RACAUTO,100nF,20%,,16V,,X7R,,,0402,Multilayer Ceramic Capacitor,Kemet,https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf
